0:01:04.944673
Plot pollution (instant)
         3237028 function calls (3162394 primitive calls) in 70.773 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       22    0.000    0.000    0.026    0.001 __init__.py:1910(_by_version_descending)
        2    0.000    0.000    0.025    0.013 ops.py:1512(safe_na_op)
        2    0.000    0.000    0.025    0.013 ops.py:1502(na_op)
    16/12    0.000    0.000    0.025    0.002 axis.py:780(reset_ticks)
        1    0.000    0.000    0.025    0.025 rcsetup.py:15(<module>)
        1    0.000    0.000    0.025    0.025 requirements.py:4(<module>)
    32/24    0.000    0.000    0.025    0.001 axis.py:68(__init__)
     1318    0.006    0.000    0.025    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
        1    0.000    0.000    0.025    0.025 expressions.py:7(<module>)
        1    0.000    0.000    0.024    0.024 check.py:1(<module>)
        6    0.000    0.000    0.024    0.004 generic.py:2(<module>)
        1    0.000    0.000    0.024    0.024 __init__.py:22(<module>)
        1    0.000    0.000    0.024    0.024 _axes.py:1(<module>)
       14    0.000    0.000    0.023    0.002 six.py:159(_resolve)
    23549    0.008    0.000    0.023    0.000 base.py:347(geometryType)
    22775    0.019    0.000    0.023    0.000 base.py:3918(__contains__)
    22823    0.014    0.000    0.023    0.000 managers.py:1549(internal_values)
        2    0.000    0.000    0.022    0.011 calpuff_utils.py:193(get_proj4string)
35796/35590    0.015    0.000    0.022    0.000 {built-in method builtins.hasattr}
      2/1    0.000    0.000    0.022    0.022 backend_agg.py:418(draw)
        1    0.000    0.000    0.022    0.022 fontconfig_pattern.py:7(<module>)
        1    0.000    0.000    0.022    0.022 request.py:68(<module>)
        2    0.000    0.000    0.022    0.011 __init__.py:45(<module>)
       82    0.000    0.000    0.022    0.000 patches.py:186(get_transform)
    22795    0.013    0.000    0.021    0.000 managers.py:1522(dtype)
     1288    0.001    0.000    0.021    0.000 __init__.py:2625(_get_metadata)
     1815    0.008    0.000    0.021    0.000 version.py:198(__init__)
        1    0.000    0.000    0.021    0.021 geodataframe.py:367(to_crs)
        1    0.000    0.000    0.021    0.021 coords.py:2(<module>)
        3    0.000    0.000    0.021    0.007 series.py:3466(apply)
       82    0.000    0.000    0.021    0.000 patches.py:691(get_patch_transform)
  434/428    0.000    0.000    0.020    0.000 {built-in method builtins.next}
       82    0.002    0.000    0.020    0.000 patches.py:675(_update_patch_transform)
    22744    0.009    0.000    0.020    0.000 blocks.py:184(to_dense)
       11    0.000    0.000    0.020    0.002 artist.py:1485(kwdoc)
        1    0.000    0.000    0.020    0.020 geoseries.py:261(to_crs)
        1    0.000    0.000    0.020    0.020 _base.py:966(cla)
        1    0.000    0.000    0.020    0.020 text.py:3(<module>)
        5    0.000    0.000    0.020    0.004 base.py:1(<module>)
        1    0.000    0.000    0.020    0.020 geos.py:3(<module>)
       40    0.001    0.000    0.020    0.000 __init__.py:357(namedtuple)
      386    0.001    0.000    0.020    0.000 __init__.py:1925(_by_version)
        3    0.000    0.000    0.019    0.006 {pandas._libs.lib.map_infer}
        1    0.000    0.000    0.019    0.019 npyio.py:1(<module>)
        2    0.000    0.000    0.019    0.010 parsers.py:813(__init__)
      404    0.000    0.000    0.019    0.000 geoseries.py:288(<lambda>)
        2    0.000    0.000    0.019    0.009 parsers.py:1120(_make_engine)
        2    0.019    0.009    0.019    0.009 parsers.py:1830(__init__)
        1    0.000    0.000    0.019    0.019 backend_tkagg.py:482(__init__)
       12    0.000    0.000    0.019    0.002 __init__.py:2286(__init__)
      404    0.003    0.000    0.019    0.000 ops.py:185(transform)
        1    0.000    0.000    0.019    0.019 backend_tkagg.py:511(_get_toolbar)
        1    0.000    0.000    0.019    0.019 backend_tkagg.py:661(__init__)
        1    0.000    0.000    0.019    0.019 backend_bases.py:2779(__init__)
        1    0.000    0.000    0.019    0.019 delayed.py:1(<module>)
        1    0.000    0.000    0.019    0.019 mcs.py:61(<module>)
        1    0.000    0.000    0.019    0.019 backend_tkagg.py:712(_init_toolbar)
        1    0.000    0.000    0.018    0.018 cm.py:6(<module>)
        3    0.000    0.000    0.018    0.006 numeric.py:1(<module>)
        3    0.000    0.000    0.018    0.006 __init__.py:9(<module>)
    11370    0.018    0.000    0.018    0.000 chronometer.py:220(loop)
    11427    0.010    0.000    0.018    0.000 series.py:399(name)
        1    0.000    0.000    0.018    0.018 client.py:69(<module>)
        7    0.000    0.000    0.018    0.003 backend_tkagg.py:695(_Button)
        6    0.018    0.003    0.018    0.003 {built-in method _posixsubprocess.fork_exec}
      402    0.000    0.000    0.018    0.000 inspect.py:3063(signature)
       11    0.000    0.000    0.018    0.002 artist.py:1244(pprint_setters)
      386    0.001    0.000    0.018    0.000 __init__.py:1931(<listcomp>)
     1931    0.017    0.000    0.017    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
      402    0.000    0.000    0.017    0.000 inspect.py:2811(from_callable)
     2302    0.007    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
        1    0.000    0.000    0.017    0.017 _datasource.py:35(<module>)
      4/2    0.000    0.000    0.017    0.008 backend_tkagg.py:691(set_cursor)
     1156    0.001    0.000    0.017    0.000 version.py:24(parse)
      658    0.001    0.000    0.017    0.000 __init__.py:1317(safe_version)
        7    0.000    0.000    0.017    0.002 __init__.py:2350(__init__)
       65    0.009    0.000    0.017    0.000 colors.py:687(from_list)
    45614    0.012    0.000    0.017    0.000 base.py:652(__len__)
      160    0.000    0.000    0.017    0.000 cm.py:67(_generate_cmap)
        1    0.000    0.000    0.016    0.016 shutil.py:5(<module>)
        1    0.000    0.000    0.016    0.016 series.py:3(<module>)
        1    0.000    0.000    0.016    0.016 population.py:5(<module>)
      588    0.003    0.000    0.016    0.000 inspect.py:1089(getfullargspec)
        1    0.000    0.000    0.015    0.015 lazy.py:97(_lazy)
       26    0.000    0.000    0.015    0.001 __init__.py:1016(rc_params_from_file)
      593    0.000    0.000    0.015    0.000 __init__.py:1098(<genexpr>)
    14050    0.005    0.000    0.015    0.000 enum.py:267(__call__)
        1    0.000    0.000    0.015    0.015 __init__.py:169(<module>)
      592    0.000    0.000    0.015    0.000 __init__.py:111(resource_exists)
        3    0.000    0.000    0.015    0.005 __init__.py:15(<module>)
    13/12    0.000    0.000    0.015    0.001 <frozen importlib._bootstrap>:622(_load_backward_compatible)
        6    0.000    0.000    0.015    0.002 __init__.py:35(load_module)
     1886    0.002    0.000    0.015    0.000 <frozen importlib._bootstrap>:147(__enter__)
        2    0.000    0.000    0.014    0.007 geos.py:27(load_dll)
      6/3    0.000    0.000    0.014    0.005 __init__.py:1178(update_idletasks)
        1    0.009    0.009    0.014    0.014 contour.py:1425(_process_args)
     5426    0.006    0.000    0.014    0.000 enum.py:803(__and__)
    15677    0.009    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
       11    0.002    0.000    0.014    0.001 artist.py:1166(_get_setters_and_targets)
    22752    0.008    0.000    0.014    0.000 generic.py:426(_info_axis)
     2444    0.002    0.000    0.014    0.000 <frozen importlib._bootstrap>:403(cached)
     1151    0.012    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
      849    0.005    0.000    0.014    0.000 inspect.py:2102(_signature_from_function)
    12184    0.010    0.000    0.014    0.000 base.py:257(_geom)
        1    0.000    0.000    0.014    0.014 multiarray.py:7(<module>)
        2    0.000    0.000    0.014    0.007 nanfunctions.py:526(nansum)
   141309    0.014    0.000    0.014    0.000 base.py:253(_geom)
29320/27886    0.005    0.000    0.014    0.000 {built-in method builtins.issubclass}
        6    0.014    0.002    0.014    0.002 {built-in method posix.read}
        1    0.000    0.000    0.014    0.014 __init__.py:747(callit)
        1    0.000    0.000    0.014    0.014 backend_tkagg.py:321(idle_draw)
        2    0.000    0.000    0.014    0.007 calpuff.py:335(get_skiprows)
     2565    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
       96    0.002    0.000    0.014    0.000 lines.py:295(__init__)
        2    0.000    0.000    0.013    0.007 calpuff_utils.py:62(get_input_unit)
      183    0.000    0.000    0.013    0.000 __init__.py:3115(<genexpr>)
    23551    0.013    0.000    0.013    0.000 base.py:67(geometry_type_name)
        1    0.000    0.000    0.013    0.013 overrides.py:1(<module>)
    47/45    0.001    0.000    0.013    0.000 series.py:152(__init__)
        1    0.000    0.000    0.013    0.013 __init__.py:2058(destroy)
        1    0.000    0.000    0.013    0.013 colors.py:3(get_vcolors)
    25628    0.009    0.000    0.013    0.000 generic.py:7(_check)
        1    0.000    0.000    0.013    0.013 core.py:161(load_base_library)
      182    0.000    0.000    0.013    0.000 __init__.py:2630(activate)
        1    0.000    0.000    0.013    0.013 core.py:193(read_style_directory)
     2723    0.002    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
      592    0.002    0.000    0.013    0.000 __init__.py:78(open_resource)
        4    0.000    0.000    0.013    0.003 spines.py:179(cla)
    79744    0.013    0.000    0.013    0.000 managers.py:1488(_block)
    11671    0.013    0.000    0.013    0.000 fromnumeric.py:70(<dictcomp>)
      678    0.013    0.000    0.013    0.000 {method 'findall' of '_sre.SRE_Pattern' objects}
    16/12    0.000    0.000    0.013    0.001 axis.py:2092(_get_tick)
    16/12    0.000    0.000    0.013    0.001 axis.py:1743(_get_tick)
    22829    0.008    0.000    0.013    0.000 base.py:5318(ensure_index)
        1    0.000    0.000    0.012    0.012 operator.py:1(<module>)
        1    0.000    0.000    0.012    0.012 __init__.py:228(<module>)
      101    0.000    0.000    0.012    0.000 operator.py:14(<genexpr>)
       26    0.002    0.000    0.012    0.000 __init__.py:938(_rc_params_in_file)
        1    0.000    0.000    0.012    0.012 colors.py:89(get_cmap)
     1293    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
      386    0.001    0.000    0.012    0.000 __init__.py:2446(__init__)
        1    0.000    0.000    0.012    0.012 _base.py:608(_init_axis)
      100    0.000    0.000    0.012    0.000 operator.py:8(should_curry)
        2    0.000    0.000    0.012    0.006 interval.py:1(<module>)
  253/136    0.000    0.000    0.012    0.000 functoolz.py:747(_check_sigspec)
     12/2    0.000    0.000    0.012    0.006 __init__.py:2302(destroy)
       49    0.000    0.000    0.012    0.000 path.py:481(contains_point)
     3355    0.008    0.000    0.011    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     1259    0.002    0.000    0.011    0.000 abc.py:180(__instancecheck__)
     1152    0.011    0.000    0.011    0.000 {method 'read' of '_io.FileIO' objects}
     1483    0.001    0.000    0.011    0.000 __init__.py:796(__setitem__)
    25174    0.011    0.000    0.011    0.000 base.py:222(empty)
  201/101    0.000    0.000    0.011    0.000 functoolz.py:805(num_required_args)
        1    0.000    0.000    0.011    0.011 index.py:2(<module>)
        1    0.000    0.000    0.011    0.011 __init__.py:89(<module>)
      501    0.011    0.000    0.011    0.000 {built-in method posix.listdir}
    22816    0.011    0.000    0.011    0.000 {method 'view' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.011    0.011 categorical.py:3(<module>)
        2    0.000    0.000    0.011    0.005 api.py:1(<module>)
        1    0.000    0.000    0.011    0.011 values.py:4(<module>)
     64/2    0.000    0.000    0.011    0.005 artist.py:47(draw_wrapper)
        2    0.000    0.000    0.011    0.005 figure.py:1268(draw)
        1    0.000    0.000    0.011    0.011 specifiers.py:4(<module>)
        2    0.000    0.000    0.010    0.005 __init__.py:11(<module>)
        1    0.000    0.000    0.010    0.010 index.py:1(<module>)
        1    0.000    0.000    0.010    0.010 bz2.py:5(<module>)
        2    0.000    0.000    0.010    0.005 parsers.py:1137(read)
       10    0.000    0.000    0.010    0.001 ops.py:1293(_create_methods)
       27    0.000    0.000    0.010    0.000 pyparsing.py:2738(__init__)
   974/60    0.004    0.000    0.010    0.000 abc.py:196(__subclasscheck__)
       68    0.010    0.000    0.010    0.000 {built-in method numpy.copyto}
        1    0.000    0.000    0.010    0.010 utils.py:4(<module>)
       10    0.000    0.000    0.010    0.001 frame.py:3356(__setitem__)
    23111    0.006    0.000    0.010    0.000 common.py:119(<lambda>)
        1    0.000    0.000    0.010    0.010 typing.py:1(<module>)
        1    0.000    0.000    0.010    0.010 test_numexpr.py:12(<module>)
   150/75    0.001    0.000    0.010    0.000 transforms.py:2399(frozen)
